v,vw,o,c,h,l,t,n
36564.919362,715.628,715.595,715.64,715.665,715.55,1789155060000,648
43100.428224,715.6489,715.65,715.62,715.67,715.57,1789155120000,745
30974.239904,715.6321,715.615,715.63,715.66,715.55,1789155180000,532
23465.675699,715.6964,715.62,715.71,715.7199,715.61,1789155240000,483
74968.033302,715.6338,715.71,715.64,715.74,715.57,1789155300000,884
44033.841153,715.6558,715.64,715.67,715.68,715.56,1789155360000,760
65130.194479,715.6732,715.66,715.69,715.71,715.6401,1789155420000,828
51763.299278,715.6473,715.68,715.625,715.71,715.595,1789155480000,638
30252.851546,715.662,715.63,715.67,715.69,715.6,1789155540000,627
87579.376024,715.7188,715.67,715.74,715.78,715.66,1789155600000,993
47724.124392,715.7476,715.74,715.74,715.79,715.7,1789155660000,742
41997.519721,715.7775,715.745,715.875,715.88,715.71,1789155720000,669
61593.530434,715.813,715.88,715.73,715.89,715.73,1789155780000,1008
67649.903815,715.7747,715.73,715.8,715.805,715.715,1789155840000,1103
70283.126236,715.8477,715.79,715.885,715.905,715.77,1789155900000,1045
76019.69986,715.8011,715.885,715.62,715.905,715.62,1789155960000,1327
815580.359313,715.8387,715.62,715.655,715.71,715.54,1789156020000,1171
672688.495886,715.677,715.65,715.55,715.74,715.5334,1789156080000,1110
47969.917457,715.583,715.54,715.59,715.64,715.52,1789156140000,901
159641.521314,715.2677,715.58,715.32,715.58,714.78,1789156200000,2873
74925.935393,715.2269,715.31,715.14,715.34,715.11,1789156260000,1552
74274.971878,715.258,715.15,715.21,715.34,715.14,1789156320000,1555
73647.437024,715.3892,715.22,715.275,715.58,715.16,1789156380000,1619
112061.679821,715.5384,715.28,715.475,715.67,715.28,1789156440000,2047
127210.683797,715.256,715.45,715.35,715.45,715.14,1789156500000,2323
92083.623276,715.2891,715.34,715.32,715.35,715.22,1789156560000,1804
98749.840725,715.3752,715.32,715.33,715.44,715.3,1789156620000,1681
